id,group,category,journey_stage,difficulty,applicable_roles,situation,chat_informed
OSS-01-001,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while the onboarding material assumes prior open-source experience.",True
OSS-01-002,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Deciding what to learn before approaching a real repository, while the repository has no obvious newcomer path.",True
OSS-01-003,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Looking for a first contribution that is not limited to code, while their available time is limited and irregular.",True
OSS-01-004,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to distinguish a project user from a project contributor, while the onboarding material assumes prior open-source experience.",True
OSS-01-005,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Reading a contributor guide for the first time, while the repository has no obvious newcomer path.",True
OSS-01-006,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Joining several project channels without knowing where to begin, while their available time is limited and irregular.",True
OSS-01-007,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to form a realistic first-week contribution plan, while the onboarding material assumes prior open-source experience.",True
OSS-01-008,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Comparing tutorials with work on a production repository, while the repository has no obvious newcomer path.",True
OSS-01-009,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to introduce themselves without overselling their experience, while their available time is limited and irregular.",True
OSS-01-010,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Moving from passive community observation to active participation, while the onboarding material assumes prior open-source experience.",True
OSS-01-011,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while different community pages describe different starting points.",True
OSS-01-012,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Deciding what to learn before approaching a real repository, while they are worried that basic questions will be judged.",True
OSS-01-013,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Looking for a first contribution that is not limited to code, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-014,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to distinguish a project user from a project contributor, while different community pages describe different starting points.",True
OSS-01-015,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Reading a contributor guide for the first time, while they are worried that basic questions will be judged.",True
OSS-01-016,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Joining several project channels without knowing where to begin, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-017,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to form a realistic first-week contribution plan, while different community pages describe different starting points.",True
OSS-01-018,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Comparing tutorials with work on a production repository, while they are worried that basic questions will be judged.",True
OSS-01-019,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to introduce themselves without overselling their experience, while most visible tasks appear to require advanced project knowledge.",True
OSS-01-020,01-getting-started,01-onboarding-and-orientation,discover,beginner,A newcomer | A student | A first-time contributor | A community volunteer,"Moving from passive community observation to active participation, while different community pages describe different starting points.",True
OSS-01-021,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to understand what open source contribution actually involves, while the repository has no obvious newcomer path.",True
OSS-01-022,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Deciding what to learn before approaching a real repository, while their available time is limited and irregular.",True
OSS-01-023,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Looking for a first contribution that is not limited to code, while the onboarding material assumes prior open-source experience.",True
OSS-01-024,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to distinguish a project user from a project contributor, while the repository has no obvious newcomer path.",True
OSS-01-025,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Reading a contributor guide for the first time, while their available time is limited and irregular.",True
OSS-01-026,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Joining several project channels without knowing where to begin, while the onboarding material assumes prior open-source experience.",True
OSS-01-027,01-getting-started,01-onboarding-and-orientation,discover,intermediate,A newcomer | A student | A first-time contributor | A community volunteer,"Trying to form a realistic first-week contribution plan, while the repository has no obvious newcomer path.",True
